,IDfg,Season,Name,PA,OBP,O-Swing%,Z-Swing%,Swing%,Zone%,IDrs
54,1624,2006,Freddy Sanchez,632,0.378,0.3,0.6920000000000001,0.514,0.547,sancf001
100,639,2006,Adrian Beltre,681,0.328,0.322,0.696,0.508,0.497,belta001
60,1070,2006,Mike Cameron,634,0.355,0.166,0.63,0.3979999999999999,0.5,camem001
35,1702,2006,Reed Johnson,517,0.39,0.307,0.605,0.47,0.5479999999999999,johnr008
61,8001,2006,Hanley Ramirez,700,0.353,0.175,0.618,0.416,0.545,ramih003
46,841,2006,Jorge Posada,545,0.374,0.214,0.6559999999999999,0.43,0.489,posaj001
88,971,2006,Jimmy Rollins,758,0.334,0.1989999999999999,0.613,0.412,0.516,rollj001
30,1152,2006,J.D. Drew,594,0.393,0.152,0.649,0.3979999999999999,0.495,drewj001
82,3442,2006,Dan Uggla,683,0.339,0.206,0.653,0.4479999999999999,0.542,uggld001
79,1825,2006,David DeJesus,552,0.364,0.185,0.599,0.408,0.537,dejed001
111,470,2006,Brandon Inge,601,0.313,0.222,0.6559999999999999,0.442,0.506,ingeb001
77,918,2006,Ramon Hernandez,560,0.343,0.21,0.6559999999999999,0.447,0.532,hernr002
106,4747,2006,Curtis Granderson,679,0.335,0.209,0.632,0.425,0.512,granc001
48,153,2006,Gary Matthews Jr.,690,0.371,0.201,0.6609999999999999,0.4379999999999999,0.516,mattg002
49,4599,2006,Nick Swisher,672,0.372,0.171,0.6609999999999999,0.407,0.481,swisn001
63,332,2006,Austin Kearns,629,0.363,0.177,0.726,0.449,0.495,keara001
81,227,2006,Joe Crede,586,0.323,0.266,0.752,0.523,0.529,credj001
20,1737,2006,Justin Morneau,661,0.375,0.304,0.731,0.512,0.486,mornj001
21,1274,2006,Alex Rodriguez,674,0.392,0.209,0.677,0.434,0.481,rodra001
78,4220,2006,Ryan Zimmerman,682,0.351,0.2289999999999999,0.613,0.427,0.517,zimmr001
69,88,2006,Rafael Furcal,736,0.369,0.188,0.615,0.408,0.515,furcr001
96,1207,2006,Ryan Freel,523,0.363,0.151,0.5870000000000001,0.3829999999999999,0.5329999999999999,freer001
28,1002,2006,Aramis Ramirez,660,0.352,0.254,0.703,0.482,0.508,ramia001
33,230,2006,Ray Durham,555,0.36,0.2289999999999999,0.682,0.46,0.509,durhr001
23,945,2006,Bobby Abreu,686,0.424,0.138,0.588,0.365,0.505,abreb001
59,185,2006,Johnny Damon,671,0.359,0.19,0.627,0.42,0.527,damoj001
83,1178,2006,Edgar Renteria,673,0.361,0.2019999999999999,0.654,0.441,0.53,rente001
127,1429,2006,Nick Punto,524,0.352,0.206,0.6509999999999999,0.44,0.525,puntn001
9,1873,2006,Matt Holliday,667,0.387,0.272,0.794,0.545,0.522,hollm001
24,778,2006,Vladimir Guerrero,665,0.382,0.39,0.866,0.605,0.452,guerv001
45,1281,2006,Mark Teixeira,727,0.371,0.216,0.64,0.418,0.476,teixm001
58,607,2006,Raul Ibanez,699,0.353,0.196,0.679,0.446,0.518,ibanr001
52,15,2006,Troy Glaus,634,0.355,0.1669999999999999,0.635,0.406,0.511,glaut001
74,1286,2006,Michael Young,748,0.356,0.246,0.731,0.496,0.517,younm003
